state,States,gdp
CA,California,4132221
TX,Texas,2727001.7
NY,New York,2310967.9
FL,Florida,1717871.5
IL,Illinois,1143080.7
PA,Pennsylvania,1032269.8
OH,Ohio,933044.3
GA,Georgia,887924.2
WA,Washington,859886.7
NJ,New Jersey,851863.1
NC,North Carolina,845142.7
MA,Massachusetts,785140.7
VA,Virginia,769659.8
MI,Michigan,711481.3
CO,Colorado,557307.8
AZ,Arizona,555613.6
TN,Tennessee,553470.7
MD,Maryland,546362
IN,Indiana,530661.2
MN,Minnesota,502945.6
WI,Wisconsin,455591.2
MO,Missouri,454579.7
CT,Connecticut,368321.1
SC,South Carolina,352048.4
OR,Oregon,333466.6
LA,Louisiana,328961.3
AL,Alabama,324077.8
UT,Utah,303367.1
KY,Kentucky,295140.4
OK,Oklahoma,267320.6
NV,Nevada,262036.3
IA,Iowa,257575.1
KS,Kansas,236123.5
AR,Arkansas,190229.5
DC,District of Columbia,187350.6
NE,Nebraska,185966.9
MS,Mississippi,158547.8
NM,New Mexico,141301.6
ID,Idaho,129643.7
NH,New Hampshire,122085.6
HI,Hawaii,116291.7
WV,West Virginia,108366.5
DE,Delaware,103996.2
ME,Maine,99237.8
RI,Rhode Island,83128.2
MT,Montana,76195.4
SD,South Dakota,75432.6
ND,North Dakota,75221.4
AK,Alaska,70140.8
WY,Wyoming,53153.5
VT,Vermont,46118.8
